Country,Year,Urban population
Latin America & Caribbean,2002,76.1899250871311
Latin America & Caribbean,2003,76.5110233029417
Latin America & Caribbean,2004,76.8191308332458
Latin America & Caribbean,2005,77.1224550106189
Latin America & Caribbean,2006,77.4229529089636
Latin America & Caribbean,2007,77.7196869018947
Latin America & Caribbean,2008,78.0100102604762
Latin America & Caribbean,2009,78.2931326393543
Latin America & Caribbean,2010,78.5690496086234
Latin America & Caribbean,2011,78.8489406838531
Latin America & Caribbean,2012,79.1205088100171
Latin America & Caribbean,2013,79.3863342145714
Latin America & Caribbean,2014,79.6495960777735
Latin America & Caribbean,2015,79.9100806771376
Latin America & Caribbean,2016,80.1657831218561
Latin America & Caribbean,2017,80.4144531276213
Latin America & Caribbean,2018,80.6507081658117
Latin America & Caribbean,2019,80.8888555976171
Latin America & Caribbean,2020,81.1345696346194
Latin America & Caribbean,2021,81.3770349656779
North America,1960,69.9184010613259
North America,1961,70.3195452396569
North America,1962,70.7397837119746
North America,1963,71.1563654139158
North America,1964,71.569387653961
North America,1965,71.9787176396327
North America,1966,72.3826157048634
North America,1967,72.7621984341351
North America,1968,73.1385496900719
North America,1969,73.5112239016084
North America,1970,73.8016579001992
North America,1971,73.8561263461651
North America,1972,73.8538605469464
North America,1973,73.8518283404081
North America,1974,73.8501285159013
North America,1975,73.8483048670236
North America,1976,73.8474379503204
North America,1977,73.860581008892
North America,1978,73.8724474871297
North America,1979,73.8851269721564
North America,1980,73.9311267000191
North America,1981,74.0734515357367
North America,1982,74.2267619128319
North America,1983,74.3797264465238
North America,1984,74.5308007506036
North America,1985,74.6816924055913
North America,1986,74.8315743389423
North America,1987,74.9685413789733
North America,1988,75.1053646667934
North America,1989,75.2409014571419
North America,1990,75.433269385553
North America,1991,75.7977724060751
North America,1992,76.1805739886747
North America,1993,76.5587808007626
North America,1994,76.9331928406778
North America,1995,77.303026135342
North America,1996,77.6716844395965
North America,1997,78.0452053948431
North America,1998,78.4154931912791
North America,1999,78.7816690106203
North America,2000,79.102424122048
North America,2001,79.2946418428749
North America,2002,79.46014242817
North America,2003,79.6247761798829
North America,2004,79.789293363425
North America,2005,79.9510092230201
North America,2006,80.1140965269405
North America,2007,80.2853299051227
North America,2008,80.4555795945244
North America,2009,80.624752343843
North America,2010,80.7919856371466
North America,2011,80.9626420370896
North America,2012,81.1243012236089
North America,2013,81.2903741868684
North America,2014,81.459871950822
North America,2015,81.6330936928194
North America,2016,81.8087700069008
North America,2017,81.9896398054891
North America,2018,82.1730644088119
North America,2019,82.3616890265939
North America,2020,82.5535857429974
North America,2021,82.7499153328578
South Asia,1960,16.6987923009137
South Asia,1961,16.8319465050755
South Asia,1962,17.0188153208205
South Asia,1963,17.2075901892167
South Asia,1964,17.3988708037985
South Asia,1965,17.5908168707772
South Asia,1966,17.7852935279338
South Asia,1967,17.9821896133539
South Asia,1968,18.1818207358733
South Asia,1969,18.3853039518297
South Asia,1970,18.5957329536337
South Asia,1971,18.8460113276077
South Asia,1972,19.1750852862456
South Asia,1973,19.5005207953411
South Asia,1974,19.847073246459
South Asia,1975,20.2279466742798
South Asia,1976,20.6204385629622
South Asia,1977,21.0223292833382
South Asia,1978,21.433983456116
South Asia,1979,21.8591916612187
South Asia,1980,22.3039447365569
South Asia,1981,22.6996204813691
South Asia,1982,22.9629656639658
South Asia,1983,23.2199234966189
South Asia,1984,23.4756424056842
South Asia,1985,23.7350255999312
South Asia,1986,24.0014060657897
South Asia,1987,24.2710165498701
South Asia,1988,24.5429135859287
South Asia,1989,24.8099784093766
South Asia,1990,25.0783670878578
South Asia,1991,25.3355434323347
South Asia,1992,25.5586713838894
South Asia,1993,25.7805641870834
South Asia,1994,26.0084555765604
South Asia,1995,26.2397979622132
South Asia,1996,26.4764897609364
South Asia,1997,26.7142673681372
South Asia,1998,26.9512620598664
South Asia,1999,27.1851903616425
South Asia,2000,27.4241819384415
South Asia,2001,27.7028765134365
South Asia,2002,28.0399858210196
South Asia,2003,28.3769252906938
South Asia,2004,28.7217873810775
South Asia,2005,29.0695715191507
South Asia,2006,29.4198095622997
South Asia,2007,29.7763609313106
South Asia,2008,30.136198126639
South Asia,2009,30.4958566179352
South Asia,2010,30.8584875474653
South Asia,2011,31.2226050429841
South Asia,2012,31.5951893725213
South Asia,2013,31.9746258307201
South Asia,2014,32.3622552620935
South Asia,2015,32.7588012182463
South Asia,2016,33.1641795947176
South Asia,2017,33.5791381747073
South Asia,2018,34.0058991979748
South Asia,2019,34.4446340578761
South Asia,2020,34.8932057886199
South Asia,2021,35.3519249926791
